xmin,xmax,ymin,ymax,corner_size,size_value,color_value,colour
6.2,7.2,-1.6,-0.6,0.229148,0.935426,0.935426,#EAF2FB
6.601679,6.798321,-2.298321,-2.101679,0.5,0.085905,0.085905,#072B61
6.520963,6.879037,-3.479037,-3.120963,0.5,0.229399,0.229399,#0A539E
6.368996,7.031004,-4.731004,-4.068996,0.5,0.499562,0.499562,#56A0CE
6.2,7.2,-6.0,-5.0,0.198164,0.950918,0.950918,#ECF4FB
6.65,6.75,-6.65,-6.55,0.5,0.0,0.0,#011636
6.2,7.2,-8.2,-7.2,0.224592,0.937704,0.937704,#EAF2FB
6.2,7.2,-9.3,-8.3,0.1,1.0,1.0,#F7FBFF
7.3,8.3,-1.6,-0.6,0.408009,0.845996,0.845996,#D6E5F4
7.3,8.3,-2.7,-1.7,0.497504,0.801248,0.801248,#CBDEF1
7.75,7.85,-3.35,-3.25,0.5,0.0,0.0,#011636
7.635453,7.964547,-4.564547,-4.235453,0.5,0.20364,0.20364,#084A92
7.658823,7.941177,-5.641177,-5.358823,0.5,0.162093,0.162093,#083F81
7.3,8.3,-7.1,-6.1,0.333933,0.883034,0.883034,#DCEAF6
7.493941,8.106059,-8.006059,-7.393941,0.5,0.455215,0.455215,#4896C8
7.3,8.3,-9.3,-8.3,0.1,1.0,1.0,#F7FBFF
