"method","output","features","scaling","avg_rank","overall_immune_cell_hum","overall_immune_cell_hum_mou","overall_lung_atlas","overall_mouse_brain","overall_pancreas","overall_simulations_1_1","overall_simulations_2","rank_immune_cell_hum","rank_immune_cell_hum_mou","rank_lung_atlas","rank_mouse_brain","rank_pancreas","rank_simulations_1_1","rank_simulations_2","package_score","package_rank","paper_score","paper_rank","time_score","time_rank","memory_score","memory_rank","id","output_img","label_pancreas","label_lung_atlas","label_immune_cell_hum","label_immune_cell_hum_mou","label_mouse_brain","label_simulations_1_1","label_simulations_2","package_label","paper_label","time_label","memory_label"
"scANVI*","Embedding","HVG","-",4.6,0.821713885471326,0.627515416706118,0.755793502085518,0.733198998216961,0.723884677636787,0.852848286635035,0.736584260942612,0.950819672131147,0.952380952380952,0.985074626865672,1,0.841269841269841,1,0.966101694915254,0.810282227658735,0.620689655172414,0.4375,0.103448275862069,0.554064525563606,0.291666666666667,0.490517319553159,0.962962962962963,"1","images/embedding.png","","2","3","","1","1","2","","","","3"
"Scanorama","Embedding","HVG","+",8,0.848436882480288,0.641592931910029,0.708848468828418,0.672544343374225,0.703483741615464,0.852296894579337,0.52657919729308,1,0.984126984126984,0.940298507462687,0.816326530612245,0.682539682539683,0.984848484848485,0.610169491525424,0.768669407955511,0.413793103448276,0.875,0.758620689655172,0.635525788754971,0.6875,0.404646087858264,0.62962962962963,"2","images/embedding.png","","","1","2","","2","","","","",""
"scVI","Embedding","HVG","-",9.4,0.788039474367344,0.636712016234591,0.719601878973018,0.677341542398644,0.713404718899536,0.814174062809055,0.502213606283661,0.786885245901639,0.968253968253968,0.955223880597015,0.836734693877551,0.761904761904762,0.848484848484849,0.559322033898305,0.883198894325402,0.758620689655172,0.65625,0.275862068965517,0.568230191636365,0.458333333333333,0.520166395746794,1,"3","images/embedding.png","","3","","3","","","","","","","1"
"FastMNN","Embedding","HVG","-",10.4,0.84561890294158,0.604928209730644,0.708385254638346,0.606238406009413,0.720062557471025,0.744617792388712,0.705206892916134,0.983606557377049,0.873015873015873,0.925373134328358,0.591836734693878,0.80952380952381,0.515151515151515,0.932203389830508,0.799354953911788,0.551724137931034,0.25,0,0.643475323506085,0.708333333333333,0.434787607819425,0.759259259259259,"4","images/embedding.png","","","2","","","","3","","","",""
"Harmony","Embedding","HVG","-",13.2,0.818014444914354,0.538061793125107,0.646940018904876,0.690298492337865,0.790036067968844,0.72559472264134,0.687788917398297,0.934426229508197,0.619047619047619,0.611940298507463,0.877551020408163,1,0.46969696969697,0.898305084745763,0.856079357842032,0.689655172413793,1,1,0.684154547997769,0.833333333333333,0.441704283665463,0.833333333333333,"5","images/embedding.png","1","","","","","","","","1","",""
"scGen*","Features","HVG","-",13.2,0.815556685123402,0.667405636618891,0.7614540012621,NA,0.748935268741125,0.758451415520231,0.752058939524852,0.901639344262295,1,1,0,0.920634920634921,0.696969696969697,1,0.695732663804888,0.275862068965517,0.5625,0.206896551724138,0.386000059430811,0,0.40335497747027,0.611111111111111,"6","images/matrix.png","3","1","","1","","","1","","","",""
"FastMNN","Features","HVG","-",18,0.805524632351222,0.575728446843819,0.669849917329276,0.55598476589272,0.691850644373332,0.70426281175511,0.658706426109599,0.852459016393443,0.777777777777778,0.805970149253731,0.469387755102041,0.650793650793651,0.348484848484849,0.830508474576271,0.799354953911788,0.551724137931034,0.25,0,0.643475323506085,0.708333333333333,0.434787607819425,0.759259259259259,"7","images/matrix.png","","","","","","","","","","",""
"Scanorama","Features","HVG","+",21.2,0.748042863626572,0.513327288346619,0.651691167338056,0.663281201506702,0.712660526141463,0.757052740113373,0.531886072777213,0.672131147540984,0.492063492063492,0.686567164179104,0.775510204081633,0.746031746031746,0.666666666666667,0.644067796610169,0.768669407955511,0.413793103448276,0.875,0.758620689655172,0.635525788754971,0.6875,0.404646087858264,0.62962962962963,"8","images/matrix.png","","","","","","","","","","",""
"Seurat v3 RPCA","Features","HVG","+",22.2,0.748174524199502,0.522444685931089,0.698304430219928,NA,0.781129145712782,0.612410071126504,NA,0.688524590163934,0.53968253968254,0.895522388059702,0,0.984126984126984,0.181818181818182,0,0.954421585648148,1,0.8125,0.551724137931034,0.55851732868304,0.375,0.304233931777869,0.185185185185185,"9","images/matrix.png","2","","","","","","","1","","",""
"BBKNN","Graph","HVG","-",25.8,0.665387119042685,0.589689785254012,0.553084654148109,0.72785832244719,0.716877408319004,0.645022662503672,0.565458462143265,0.245901639344262,0.825396825396825,0.223880597014925,0.979591836734694,0.793650793650794,0.242424242424242,0.711864406779661,0.780925049564543,0.482758620689655,0.9375,0.896551724137931,0.735854087546029,0.979166666666667,0.491499915657371,0.981481481481482,"10","images/graph.png","","","","","2","","","","3","2","2"
"ComBat","Features","HVG","-",26.6,0.663882597994108,0.534380053529475,0.660443700117239,0.697270048954481,0.655120571859579,0.775898793481699,0.519893263816668,0.229508196721311,0.603174603174603,0.73134328358209,0.897959183673469,0.492063492063492,0.727272727272727,0.593220338983051,0.907878683208806,0.896551724137931,0.8125,0.551724137931034,0.748092511649814,1,0.439314097931164,0.814814814814815,"11","images/matrix.png","","","","","3","","","3","","1",""
"MNN","Features","HVG","+",30.6,0.761490472650583,0.530367265716208,0.666500759230642,NA,0.633429673467783,0.81872646326605,0.546414546143894,0.704918032786885,0.587301587301587,0.776119402985075,0,0.380952380952381,0.878787878787879,0.694915254237288,0.462995504646942,0.0689655172413793,0.875,0.758620689655172,0.456460278808777,0.0625,0.406762008220074,0.685185185185185,"12","images/matrix.png","","","","","","","","","","",""
"trVAE","Embedding","HVG","-",31.9,0.690508235006595,NA,0.684780490655635,NA,0.704564508309859,0.616229751904473,0.671054175398817,0.409836065573771,0.357142857142857,0.865671641791045,0,0.698412698412698,0.196969696969697,0.864406779661017,0.699723891635162,0.344827586206897,0.4375,0.103448275862069,0.389543445530605,0.0208333333333333,0.145659118143781,0,"13","images/embedding.png","","","","","","","","","","",""
